hospital,average_billing
Cline-Santiago,15699.89
Cline-Stephens,29071.22
Cline-Watson,43748.82
Cline-Williams,12263.36
"Cobb And Haley, Peterson",40012.8
"Cobb And Larsen, Harris",47161.28
"Cobb And Roy, Bennett",9465.65
"Cobb Anderson, And Barker",7116.23
"Cobb Frye, Diaz And",5941.24
Cobb Group,11012.67
Cobb Inc,39793.06
Cobb Ltd,34602.89
"Cobb Norman And Owens,",37859.95
Cobb Plc,26098.94
"Cobb Rubio, Williamson And",47087.83
"Cobb Stewart, And Morris",14807.33
"Cobb, And Bowen Hunt",44106.88
"Cobb, And Clark Robinson",8942.93
"Cobb, Lambert Campbell And",31903.83
"Cobb, Osborne Hatfield And",46607.38
Cobb-Allen,42437.54
Cobb-Cohen,46094.38
Cobb-Perez,12908.29
Cobb-Pollard,26087.39
Cobb-Ramsey,14144.21
Cobb-Reed,48419.54
Cobb-Rivera,50239.32
Cobb-Zimmerman,44003.64
"Cochran And Castillo Marshall,",19231.9
"Cochran And Rogers Brock,",15577.3
"Cochran Decker Brown, And",37019.14
Cochran Inc,4735.46
Cochran Llc,32505.43
Cochran Ltd,43051.37
"Cochran Miller Barton, And",44424.39
Cochran Sons And,34367.25
"Cochran Stevens, And Kaufman",31908.74
"Cochran Whitney, And Novak",41808.53
"Cochran, Melton And Deleon",37878.0
Cochran-Butler,41670.68
Cochran-Freeman,12780.78
Cochran-Harper,21296.38
Cochran-Hart,25442.62
Cochran-Kelley,6193.94
Cochran-Sawyer,44665.68
Cochran-Sutton,33115.82
Cochran-White,33941.83
Coffey Group,33833.55
"Coffey Humphrey, And Cole",18070.11
Coffey Llc,27893.05
Coffey Sons And,34048.31
"Coffey, Stone Gibson And",22080.47
"Coffey, Tapia And Lopez",37627.31
Coffey-Barrett,13098.17
Coffey-Mckenzie,29496.42
Coffey-Richardson,12386.73
Coffey-Travis,22427.45
Coffey-Young,42727.51
"Cohen And Clark Macias,",3765.81
"Cohen And Parks Lewis,",49645.07
"Cohen And Smith Lindsey,",22791.84
Cohen And Sons,26608.19
Cohen Llc,29309.21
"Cohen Mueller And Parks,",21547.41
"Cohen Patterson, Avila And",36561.92
"Cohen Robinson, Rodriguez And",9527.61
"Cohen Snyder, Beasley And",32824.46
"Cohen, And Bowers Conley",43198.34
"Cohen, Villanueva Mitchell And",8821.64
Cohen-Compton,14029.42
Cohen-Dominguez,6396.4
Cohen-Gillespie,36515.52
Cohen-Haney,28332.1
Cohen-Holmes,36696.39
Cohen-Jordan,13420.22
Cohen-Mills,37703.37
Cohen-Nelson,13502.35
Cohen-Riley,20495.13
Cohen-White,17098.37
"Cole Alvarez, Johnson And",34590.48
"Cole And Black Lopez,",47521.12
"Cole And Cook, Smith",37135.04
"Cole And Franklin Benson,",31783.51
"Cole And Nelson, Davies",38907.68
"Cole And Walker, Flores",22860.68
"Cole Dawson And King,",24668.5
"Cole Frederick, Carlson And",10186.3
"Cole Green, Garrett And",21674.05
Cole Group,33026.46
Cole Inc,27034.54
Cole Llc,35015.61
Cole Ltd,24119.53
"Cole Morales Garcia, And",35316.83
Cole Plc,25683.96
"Cole Salazar Hines, And",43995.27
"Cole Schmidt, And Gutierrez",46972.81
"Cole Shaw Simmons, And",20015.61
"Cole Torres, Harrell And",44360.41
"Cole Wise And Christensen,",9158.05
"Cole, And Clark Hicks",41735.84
"Cole, And Reed Cobb",18816.18
"Cole, Brewer Love And",25426.27
"Cole, Chapman Bradley And",6133.52
"Cole, Dudley And Hill",46920.3
"Cole, Mccullough Livingston And",9527.98
"Cole, Montgomery And Moran",20234.69
"Cole, Russell Thomas And",48378.62
"Cole, Shaw Boyd And",44779.59
Cole-Adams,4761.72
Cole-Blake,2263.69
Cole-Burke,2873.15
Cole-Chandler,2886.8
Cole-Chen,9753.94
Cole-Clark,29793.95
Cole-Crawford,13888.49
Cole-Cruz,28347.26
Cole-Davila,45540.1
Cole-Edwards,24212.45
Cole-Ford,5619.43
Cole-Freeman,27624.62
Cole-Gonzalez,35255.67
Cole-Hansen,19832.15
Cole-Johnson,10804.76
Cole-Lee,30863.97
Cole-Miller,41358.66
Cole-Mitchell,42235.2
Cole-Montgomery,23082.24
Cole-Morgan,35664.69
Cole-Ortiz,41252.83
Cole-Parks,-53.83
Cole-Perez,24483.34
Cole-Reyes,28297.48
Cole-Rodriguez,11664.0
Cole-Sharp,3010.81
Cole-Vargas,32739.04
Cole-Ward,12950.62
Cole-West,3184.18
"Coleman And Hahn Johnson,",23081.42
"Coleman And Jacobson Johnston,",37121.47
"Coleman And Mcdonald Estes,",40593.6
"Coleman Green, Lucas And",15940.22
Coleman Group,32725.11
"Coleman Hardy Jackson, And",1156.08
"Coleman Hebert And Powell,",49653.27
Coleman Inc,40897.98
"Coleman Johnson, Evans And",3607.09
Coleman Llc,41260.97
Coleman Ltd,26857.01
"Coleman Lynch And Kline,",5321.59
"Coleman Mcdowell Collins, And",44397.05
"Coleman Morris Terry, And",4102.57
Coleman Plc,22685.61
"Coleman Roberts, Kelly And",14596.14
Coleman Sons And,40647.46
"Coleman, And Berry Davis",28949.17
"Coleman, And Ramirez Wolf",23959.57
"Coleman, Foster And Luna",34562.84
"Coleman, Graham And Collins",11578.2
"Coleman, Johnson Ho And",22287.99
"Coleman, Quinn And Miller",6005.72
"Coleman, Short Lambert And",16952.86
"Coleman, Sparks And Delacruz",29637.75
Coleman-Aguilar,34961.91
Coleman-Bell,44345.36
Coleman-Brooks,7401.92
Coleman-Cain,36890.56
Coleman-Carson,41268.85
Coleman-Dawson,42605.64
Coleman-Duke,18360.62
Coleman-Graham,39080.77
Coleman-Grimes,3361.22
Coleman-Hernandez,43700.77
Coleman-Ho,44395.83
Coleman-Huff,18610.04
Coleman-Hurley,33715.9
Coleman-James,29300.25
Coleman-Johnson,8547.86
Coleman-Kim,10307.14
Coleman-Lawson,23991.62
Coleman-Moreno,31999.45
Coleman-Norton,21266.5
Coleman-Olson,15524.0
Coleman-Rhodes,4608.0
Coleman-Rodriguez,44894.65
Coleman-Rose,17321.72
Coleman-Shaw,50815.72
Coleman-Stewart,14968.51
Coleman-Stout,39945.72
Coleman-Torres,17002.44
Coleman-Williams,10629.21
"Collier And Brown Elliott,",1558.0
"Collier And Kennedy Wolf,",20024.0
"Collier Grant Jacobs, And",30905.39
"Collier Harris Gordon, And",24644.04
Collier Inc,5662.93
Collier Llc,7730.51
"Collier Roberts, And Thompson",7531.37
"Collier, Brennan And Smith",17323.77
Collier-Adams,20996.76
Collier-Browning,31358.78
Collier-Carlson,12798.84
Collier-Garrett,7220.39
Collier-Jordan,43230.03
Collier-Morgan,20074.63
Collier-Smith,9417.61
"Collins Adams And Morales,",50075.18
"Collins Alexander And Graham,",18736.27
"Collins And Farmer Zamora,",49757.92
"Collins And Hamilton Vasquez,",35711.9
"Collins And Kramer Mills,",43266.14
"Collins And Marshall, Nash",21053.01
"Collins And Moore Chan,",17182.87
"Collins And Murray Taylor,",19769.29
"Collins And Perez, Rogers",41344.68
"Collins And Smith, Peterson",7519.83
"Collins And Walker Bailey,",29035.6
"Collins And Woods Jackson,",38793.01
"Collins And Wright, Garrison",40056.93
"Collins Berry, And Reed",90.83
"Collins Colon And Jones,",38912.36
"Collins Cooper Thompson, And",43862.62
"Collins Davis, Rodriguez And",33342.36
"Collins Estrada Wells, And",34552.65
Collins Group,34213.81
"Collins Howell, And Cantrell",9710.69
Collins Inc,35150.23
Collins Llc,18978.25
Collins Ltd,43693.21
"Collins Martin Pearson, And",4753.39
"Collins Nelson Beck, And",25351.92
Collins Plc,44016.8
"Collins Porter And Rodgers,",36931.48
"Collins Small, And Crawford",49339.88
Collins Sons And,8191.35
"Collins Stout And King,",8993.42
"Collins Todd, Garza And",43085.31
"Collins White Melendez, And",12649.47
"Collins Woodward Martinez, And",26023.36
"Collins, And Allen Myers",3306.37
"Collins, And Fields Campbell",39255.68
"Collins, And Kemp Cobb",9001.62
"Collins, And Lawson Lyons",35826.39
"Collins, And Williams Jackson",39242.98
"Collins, Arellano And Haas",32922.51
"Collins, Edwards Dalton And",1903.13
"Collins, Fry Jensen And",22832.51
"Collins, Nelson Owens And",22084.94
"Collins, Wallace Duncan And",25160.43
"Collins, Zimmerman Lewis And",18614.66
Collins-Bailey,37991.4
Collins-Booth,15772.48
Collins-Boyle,30294.91
Collins-Brown,23141.45
Collins-Cooper,11832.76
Collins-Curtis,40475.2
Collins-Dixon,32242.26
Collins-Douglas,43091.35
Collins-Ellis,33671.01
Collins-Esparza,18179.4
Collins-Fields,3110.26
Collins-Fox,7014.96
Collins-Frazier,35640.09
Collins-French,24446.86
Collins-Gilbert,27081.57
Collins-Greene,32789.69
Collins-Gutierrez,11202.35
Collins-Harris,2193.21
Collins-Hawkins,32038.55
Collins-Hayden,43151.84
Collins-Hernandez,1678.88
Collins-Hester,40380.85
Collins-Howard,49338.73
Collins-Hughes,6175.05
Collins-Jacobs,20912.47
Collins-Jones,23744.26
Collins-Knight,1327.82
Collins-Lloyd,33743.34
Collins-Lozano,2275.64
Collins-Matthews,43818.41
Collins-Mcdonald,12350.68
Collins-Moreno,23355.95
Collins-Osborne,25320.31
Collins-Perez,20404.45
Collins-Peterson,43500.27
Collins-Pierce,40210.52
Collins-Ross,2746.05
Collins-Scott,30536.73
Collins-Smith,38011.13
Collins-Stone,38359.69
Collins-Thompson,5048.79
Collins-Torres,2141.19
Collins-Tyler,6971.63
Collins-White,25784.21
Collins-Woods,40730.52
Collins-Yang,31184.13
"Colon Greene Russell, And",49076.28
Colon Inc,47556.88
Colon Llc,12891.63
Colon Ltd,15538.47
Colon Plc,10278.68
"Colon, And Floyd Thompson",16345.72
"Colon, Long And Hammond",24720.44
Colon-Ferguson,29525.33
Colon-Fisher,27389.16
Colon-Jimenez,3644.78
Colon-Kent,42321.59
Colon-Leon,23154.64
Colon-Mathis,26304.52
Colon-Mckenzie,44923.19
Colon-Meyer,3601.68
Colon-Ortiz,2566.88
Colon-Phillips,8956.77
Colon-Rowland,47410.97
Colon-Smith,11511.73
Colon-Sullivan,2613.33
Colon-Watson,19012.5
"Combs And Perkins, Jimenez",31583.85
"Combs And Sanders Juarez,",8377.09
Combs And Sons,27883.41
"Combs And Steele Mitchell,",22527.38
Combs Group,26618.91
Combs Ltd,10735.63
Combs Sons And,4541.56
Combs-Bell,10097.15
Combs-Morrison,27233.52
Combs-Peterson,6685.06
Combs-Robinson,3675.35
Combs-Waters,7846.42
"Compton And Rosales Scott,",39647.79
Compton Llc,27213.56
Compton Plc,20328.68
Compton-Ayala,18443.53
Compton-Clark,42642.12
Compton-Fields,5720.84
Compton-Gordon,50033.26
Conley And Sons,5727.66
"Conley Gill, Wright And",48566.91
Conley Group,6988.44
"Conley Hall, And Young",8067.58
"Conley Jackson, And Hill",20886.34
Conley Ltd,25040.13
"Conley Mooney, Hall And",34716.25
"Conley Rogers, Farley And",6810.81
"Conley, Banks Williamson And",40827.69
Conley-Carter,22650.09
Conley-Crane,28376.87
Conley-Haley,28376.85
Conley-Jackson,21321.52
Conley-Mayo,43319.84
Conley-Miranda,32323.91
Conley-Owens,6050.31
Conley-Sanders,8630.26
Conley-Smith,1918.23
Conley-Torres,21450.84
Conley-Ward,46568.38
Conley-Williamson,13443.44
Conley-Wood,50378.3
"Conner And Davis Mcbride,",2055.11
"Conner And Newman Barron,",18068.32
"Conner Fitzgerald And Richardson,",35966.64
Conner Group,15035.27
Conner Inc,32036.29
"Conner Kennedy, And Matthews",29972.32
Conner Ltd,48508.51
"Conner Meyer Riley, And",15761.84
"Conner Owen, Newton And",50833.69
Conner Plc,31861.82
"Conner Ramos, Henderson And",31730.89
Conner-Carter,11185.09
Conner-Flores,23775.45
Conner-Guerra,21827.82
Conner-Hayes,49188.65
Conner-Howard,7974.15
Conner-Nelson,46421.26
Conner-Ortiz,6399.78
Conner-Perkins,28451.18
Conner-Ritter,32110.9
Conner-Stevenson,33383.15
Conner-Vasquez,29342.45
"Conrad And Allen, Hernandez",50534.83
"Conrad And Lucas, Melton",38537.69
"Conrad Bradley, Hughes And",10129.61
"Conrad Brown Bautista, And",5327.6
Conrad Group,18686.04
Conrad-Best,15113.38
Conrad-Brock,28748.91
Conrad-Espinoza,11483.38
Conrad-Lee,21660.25
Conrad-Norton,702.81
Conrad-Wiley,22466.02
"Contreras Alexander Glass, And",8513.61
"Contreras And Bowen, Floyd",4301.08
Contreras And Sons,11579.66
"Contreras Barnett And Guzman,",21092.92
"Contreras Grimes And Prince,",1987.12
Contreras Group,47612.33
Contreras Inc,48673.47
"Contreras Lyons Richard, And",30132.86
"Contreras Myers And Young,",21305.52
"Contreras, And White Owens",30321.64
"Contreras, Mason Villanueva And",34159.09
Contreras-Adams,23639.71
Contreras-Contreras,11034.84
Contreras-Cook,19021.2
Contreras-Hancock,22473.81
Contreras-Harmon,48700.88
Contreras-Hoover,42566.77
Contreras-Johnson,37456.93
Contreras-Jones,10859.56
Contreras-Martin,10357.02
Contreras-Ryan,27025.26
Contreras-Sanchez,21241.56
Contreras-Vasquez,39086.85
Contreras-Villegas,33922.37
Contreras-White,32094.4
"Conway And Benitez Jackson,",49147.33
"Conway And Parker, Porter",38736.97
"Conway And Wilcox, Cowan",43227.6
"Conway Brooks And Green,",18178.66
"Conway Harper, And Ochoa",18483.05
Conway Llc,27536.4
Conway Ltd,27236.05
"Conway Martinez, And Bishop",39908.53
"Conway Reese Campbell, And",34200.49
"Conway Turner, And Pollard",7387.02
"Conway, Lee Huynh And",10240.06
Conway-Crane,42770.83
Conway-Fuller,45006.58
Conway-Garrett,30767.01
Conway-Hayden,28226.86
Conway-Johnson,18782.51
Conway-Nelson,27709.14
Conway-Wall,29101.33
"Cook And Craig, Herrera",804.24
"Cook And Curtis Morris,",43039.62
"Cook And Edwards Flowers,",24378.33
"Cook And Escobar Calhoun,",27238.49
"Cook And Foley Brown,",41983.51
"Cook And Mccarthy, Oliver",3090.31
"Cook And Mcgee, Sutton",23302.33
"Cook And Meza Livingston,",23493.33
"Cook And Miller, Dunlap",34592.14
"Cook And Smith, Crane",22786.3
"Cook And Smith, Ward",50775.9
Cook And Sons,11548.9
"Cook And Tapia Hughes,",24108.4
"Cook And Zhang, Mayer",46792.48
"Cook Ayala, And Williams",33141.51
"Cook Clark, Dunn And",29830.96
"Cook Fox, And Lawson",45997.87
"Cook Griffin Price, And",15761.72
Cook Group,29003.78
"Cook Hoffman Parsons, And",9507.21
"Cook Hoover, Woodard And",40197.15
"Cook Hughes And Payne,",3722.72
Cook Inc,31692.59
"Cook Jones, And Cunningham",40905.63
Cook Llc,26127.64
"Cook Lopez, And Hammond",2789.96
Cook Ltd,22454.36
"Cook Miller, And Walker",35934.16
"Cook Munoz, Kim And",46136.67
Cook Plc,25877.28
"Cook Smith, And Bryant",33513.87
Cook Sons And,43483.09
"Cook Thomas Thomas, And",1191.1
"Cook, And Clark Chandler",46447.14
"Cook, And Douglas Gray",32808.83
"Cook, And Rodgers Reyes",28889.6
"Cook, And Thompson Taylor",49505.29
"Cook, And Young Brown",22196.15
"Cook, Diaz Campbell And",22904.17
"Cook, Small Monroe And",14673.68
"Cook, Wall And Smith",46797.52
"Cook, Wang Diaz And",36390.31
Cook-Adams,47641.32
Cook-Alexander,13019.21
Cook-Alvarez,4130.87
Cook-Baker,23312.29
Cook-Carlson,22473.96
Cook-Chan,38607.28
Cook-Christian,26166.55
Cook-Church,9994.46
Cook-Fischer,18598.2
Cook-Franklin,29085.68
Cook-Gibson,38272.35
Cook-Gilbert,13473.18
Cook-Green,30682.35
Cook-Hammond,47801.08
Cook-Harris,29791.31
Cook-Henderson,16296.9
Cook-Holloway,10781.16
Cook-Hurst,22506.86
Cook-Johnson,21114.17
Cook-Joseph,3494.51
Cook-Joyce,43636.35
Cook-Larsen,39490.28
Cook-Lee,37173.94
Cook-Lucero,13953.94
Cook-Marquez,50250.83
Cook-Martin,34849.78
Cook-Martinez,34172.54
Cook-Miller,28799.13
Cook-Mills,29642.25
Cook-Neal,45873.53
Cook-Olsen,45494.37
Cook-Oneill,1429.01
Cook-Page,37416.77
Cook-Park,24084.97
Cook-Patel,31499.0
Cook-Patterson,43824.15
Cook-Rogers,36915.58
Cook-Shelton,44604.64
Cook-Smith,21115.65
Cook-Solis,30605.63
Cook-Stevens,1665.56
Cook-Suarez,22998.61
Cook-Taylor,1870.61
Cook-Turner,31813.05
Cook-Wood,47008.22
Cook-Woodard,7706.86
"Cooke Houston Villanueva, And",14787.89
"Cooke Ramsey, And Russell",12460.7
"Cooke, Berry Khan And",42431.35
"Cooke, Reyes Herrera And",14856.53
Cooke-Bell,32516.21
Cooke-Gillespie,25628.3
Cooke-Little,7854.63
Cooke-Rodriguez,33427.81
Cooke-Russell,2589.34
Cooke-Sutton,39799.84
"Cooley Chapman, And Miller",29163.46
"Cooley Doyle Jordan, And",12996.87
"Cooley Oliver And Miller,",16726.94
"Cooley, Singh And Wall",49412.57
Cooley-Alvarado,13761.29
Cooley-Howell,32857.62
Cooley-Reid,41311.29
"Cooper Adams And Miller,",21746.76
"Cooper And Arnold Hernandez,",17349.7
"Cooper And Burgess, Clay",30815.11
"Cooper And Hawkins, Lowe",37099.16
"Cooper And Neal, Combs",48958.18
"Cooper And Tanner, Prince",47411.68
"Cooper Brown Parks, And",34500.02
"Cooper Collins, And Hudson",49496.68
"Cooper Cunningham, And Warren",2623.41
"Cooper Dennis, And Bowman",3135.96
"Cooper Gomez, And Simmons",28518.43
Cooper Group,16870.64
"Cooper Hendricks Walker, And",15211.56
Cooper Inc,23010.96
"Cooper Lee, Mccormick And",43094.23
Cooper Llc,41635.79
Cooper Ltd,29712.81
"Cooper Nichols Reynolds, And",7971.25
Cooper Plc,20409.45
"Cooper Rodriguez, Taylor And",47664.41
"Cooper Rosales And Rose,",31737.47
"Cooper Ross, And Lutz",19630.67
"Cooper Schultz, Simpson And",45269.57
Cooper Sons And,31251.79
"Cooper Tucker And Powers,",20651.55
"Cooper Williams May, And",24690.01
"Cooper, And Burgess Saunders",12747.13
"Cooper, And Hall Smith",6639.23
"Cooper, And Leonard Oliver",43711.41
"Cooper, And Robinson Garner",18763.39
"Cooper, And Smith Sparks",26794.61
"Cooper, And Wright Harvey",14437.38
"Cooper, Miller Cruz And",17057.68
Cooper-Barnett,10715.5
Cooper-Bates,27868.6
Cooper-Best,26780.64
Cooper-Bishop,14070.32
Cooper-Black,2858.79
Cooper-Brown,19210.17
Cooper-Burgess,25814.93
Cooper-Bush,40091.03
Cooper-Calhoun,9854.77
Cooper-Carrillo,41881.35
Cooper-Clarke,8658.0
Cooper-Collins,43133.23
Cooper-Diaz,20911.11
Cooper-Duncan,11298.79
Cooper-Ellis,958.84
Cooper-Farley,22613.95
Cooper-Fernandez,16417.98
Cooper-Fry,40964.94
Cooper-Gross,8175.39
Cooper-Gutierrez,11718.35
Cooper-Hancock,42754.98
Cooper-Jackson,45192.52
Cooper-Jones,31128.43
Cooper-Kerr,31376.5
Cooper-Koch,16871.92
Cooper-Lee,24811.97
Cooper-Martin,14642.8
Cooper-Martinez,31774.8
Cooper-Mcdaniel,11012.44
Cooper-Miller,21242.78
Cooper-Perkins,6544.47
Cooper-Robles,25120.16
Cooper-Rodriguez,7151.37
Cooper-Rogers,23248.47
Cooper-Santos,7003.48
Cooper-Stewart,36546.02
Cooper-Strickland,4252.97
Cooper-Taylor,41039.95
Cooper-Trujillo,10294.78
Cooper-Wilkerson,3755.19
Cooper-Winters,31050.53
Cooper-Wood,21298.91
Cooper-Young,45993.54
"Copeland And Flores, Vang",15383.78
"Copeland And Williamson Johnson,",23848.27
Copeland Group,15865.03
Copeland Llc,11685.04
Copeland Sons And,24292.31
"Copeland, And Crawford Stark",17625.27
"Copeland, Davila And Pratt",1781.82
Copeland-Gibson,44667.97
Copeland-Gomez,38550.71
Copeland-Hall,45223.16
Copeland-Lin,43810.25
Copeland-Martin,18994.19
Copeland-Yoder,48361.37
"Cordova And Flores Carson,",38473.08
"Cordova And Gregory Vasquez,",8220.97
"Cordova And Thomas Warren,",1835.24
"Cordova Curtis Page, And",6838.97
Cordova Llc,14945.33
"Cordova Williams Nguyen, And",47383.51
Cordova-Hunter,3905.47
Cordova-Lee,33950.58
Cordova-Ochoa,15753.72
Cordova-Vega,28090.91
"Cortez And Best Rivera,",15240.26
"Cortez And Hughes Robinson,",12250.5
"Cortez And Weiss Sanchez,",34987.91
"Cortez Anderson And Burns,",22391.0
Cortez Group,40749.56
Cortez Llc,30313.82
Cortez Ltd,30761.91
"Cortez, Long And Singleton",44609.96
Cortez-Alexander,35111.18
Cortez-Avila,46748.93
Cortez-Blankenship,46578.05
Cortez-Cannon,25098.25
Cortez-Cowan,29754.17
Cortez-Dawson,19191.92
Cortez-Dixon,36733.47
Cortez-Hernandez,16475.45
Cortez-Kramer,28447.44
Cortez-Murray,19487.56
Cortez-Vaughan,19898.71
Cortez-Young,9819.47
"Costa And Carlson, Horton",42935.22
"Costa Delgado, Sanchez And",46008.87
Costa Llc,35662.2
"Costa, And Walker Mcdonald",47147.07
"Costa, Jones And Chavez",39123.51
"Cowan Cardenas Allen, And",6257.13
Cowan Inc,38142.11
"Cowan Lawson, And Warren",26900.92
Cowan Llc,28935.13
"Cowan, And Gomez Edwards",1048.41
"Cowan, Cameron And Wilcox",7348.16
"Cowan, James Rojas And",22532.05
Cowan-Flores,42482.91
"Cox Alvarez, Cameron And",3404.05
"Cox And Bell Martinez,",22542.17
"Cox And Gardner, Brooks",29497.25
"Cox And Guzman Skinner,",34866.64
"Cox And Levy Watson,",24811.17
"Cox And Mitchell Ortega,",26590.69
"Cox And Randall Brown,",27127.92
"Cox And Schwartz Stewart,",6028.6
"Cox Armstrong, And Dalton",27019.49
"Cox Bass Martin, And",5482.89
"Cox Booth, And Lee",2771.43
"Cox Cervantes And Rowe,",44777.67
"Cox Dodson, Velez And",45568.09
"Cox Fox, Andrews And",3365.14
"Cox Frye, And Garrett",7987.76
"Cox Garcia Ross, And",28934.49
Cox Group,15744.22
"Cox Gutierrez, And Hamilton",19312.63
"Cox Ho And Meyer,",40290.97
Cox Inc,16219.85
"Cox Jenkins, And Morrison",33210.72
"Cox Lang And Palmer,",38907.15
Cox Llc,8118.49
"Cox Love, And Saunders",35635.2
Cox Ltd,42571.6
"Cox Merritt, Harrison And",37285.28
Cox Plc,20571.56
"Cox Sanchez, Morris And",33967.35
Cox Sons And,30184.41
"Cox Stone, And Merritt",4699.31
"Cox Sullivan And Alvarado,",41640.59
"Cox, And Brown Simpson",47940.32
"Cox, And Evans Adkins",23002.64
"Cox, And Johnson Cuevas",24221.97
"Cox, And Salazar Bonilla",2220.3
"Cox, Cabrera Frederick And",5201.77
"Cox, Donovan And Davidson",34214.41
"Cox, Franklin And Brown",37051.18
"Cox, Hess And Smith",44882.51
"Cox, Mccoy Hawkins And",44633.06
"Cox, Meyer Manning And",44695.85
"Cox, Miller And Mays",17129.9
"Cox, Molina And Owen",3969.19
"Cox, Moore Pugh And",11421.14
"Cox, Vaughn Herrera And",3064.55
Cox-Bradshaw,11080.78
Cox-Brown,39664.35
Cox-Castro,28533.89
Cox-Cook,47698.13
Cox-Davenport,5330.42
Cox-Davis,12870.41
Cox-Diaz,47184.38
Cox-Duncan,25476.13
Cox-Fisher,33405.33
Cox-Garcia,1804.84
Cox-Glenn,5053.98
Cox-Gonzales,10052.71
Cox-Hanson,8442.47
Cox-Herman,43058.12
Cox-Hernandez,2431.95
Cox-Hester,10352.21
Cox-Hines,17058.05
Cox-Howard,10182.08
Cox-Johnson,23345.63
Cox-Jones,6053.67
Cox-Kane,3855.0
Cox-Kirk,25486.29
Cox-Martinez,11203.66
Cox-Mathis,35942.97
Cox-Miller,18137.39
Cox-Moran,2672.39
Cox-Murray,34793.69
Cox-Neal,34508.51
Cox-Paul,7581.81
Cox-Payne,49999.29
Cox-Reyes,46793.51
Cox-Roman,41161.84
Cox-Sanchez,11726.63
Cox-Schwartz,24023.89
Cox-Sims,27981.07
Cox-Smith,23602.77
Cox-Sullivan,47650.8
Cox-Vargas,32163.71
Cox-White,20155.38
Cox-Woods,28304.42
"Craig Evans, Lee And",27322.87
"Craig Garrett Terrell, And",23417.84
Craig Group,32328.72
Craig Inc,31469.51
"Craig Klein Harrison, And",27552.09
Craig Llc,27276.32
"Craig, Brown And Brooks",18306.81
"Craig, Patel And Shah",43117.75
Craig-Bishop,16830.26
Craig-Coffey,40340.91
Craig-Fisher,43431.56
Craig-Freeman,2464.63
Craig-Garcia,15367.41
Craig-Gordon,22183.45
Craig-Hunter,19296.77
Craig-Johnson,17981.59
Craig-Navarro,18353.5
Craig-Palmer,28778.38
Craig-Perez,3127.47
Craig-Porter,29107.87
Craig-Smith,35507.23
Craig-Watson,30827.53
Craig-Williams,10136.79
"Crane And Murphy Chapman,",45268.69
"Crane Bean Burns, And",17730.61
"Crane Horne, And Walker",29420.27
Crane Llc,11711.96
"Crane Payne, And Sullivan",14194.13
"Crane, And Martinez Le",47481.13
Crane-Nguyen,3773.49
Crane-Velez,19914.92
Crane-Webb,47051.18
"Crawford Alvarez And Johnson,",37916.98
"Crawford And Johnson Barrett,",39939.25
"Crawford Brown And Tucker,",18108.88
Crawford Group,15623.99
"Crawford Hanna, And Davis",16810.29
Crawford Inc,24374.86
Crawford Llc,19646.83
Crawford Ltd,5526.53
Crawford Plc,49309.41
"Crawford Rhodes, Cruz And",38230.54
"Crawford Stout, And Thompson",44265.21
"Crawford Weiss Chan, And",16473.31
"Crawford, And Bird Moore",34953.48
"Crawford, And Cummings Beasley",34226.15
"Crawford, And Sparks Murillo",47901.74
"Crawford, King And Todd",48705.47
"Crawford, Medina And Scott",18571.29
"Crawford, Robertson And Vance",50663.13
Crawford-Anderson,41920.86
Crawford-Davis,27770.1
Crawford-Diaz,11827.05
Crawford-Donaldson,16044.69
Crawford-Gonzalez,11686.99
Crawford-Harper,18353.81
Crawford-Hill,7294.89
Crawford-Holland,20499.76
Crawford-Johnson,24112.75
Crawford-Koch,4225.48
Crawford-Landry,25775.87
Crawford-Lee,20129.58
Crawford-Mcbride,46754.9
Crawford-Pennington,15808.5
Crawford-Rosales,45088.39
Crawford-Sanchez,36468.66
Crawford-Schmidt,9404.78
Crawford-Smith,43075.42
Crawford-Strong,26310.3
Crawford-Sweeney,6379.22
Crawford-Taylor,3349.4
"Crosby And Williams, Salazar",23803.94
"Crosby, Blake And Gonzalez",11592.03
"Crosby, Nixon Valdez And",41853.0
Crosby-Baker,30975.3
Crosby-Campbell,29318.69
Crosby-Cox,34288.96
Crosby-Larsen,47011.08
Crosby-Lopez,35902.37
Crosby-Shelton,14415.17
Crosby-Stevens,23172.76
Cross Group,29699.58
Cross Inc,3107.52
"Cross Irwin, And Cherry",31807.17
"Cross Johnson, And Foster",20964.49
Cross Ltd,30575.76
Cross Plc,3760.71
"Cross, And Mcneil Palmer",14724.89
"Cross, Johnson Simpson And",42067.13
"Cross, Underwood King And",34742.21
Cross-Cisneros,39228.61
Cross-Fisher,48545.23
Cross-Haynes,3744.63
Cross-Johnson,32339.07
Cross-Marquez,49461.5
Cross-Miller,17298.31
Cross-Smith,23296.48
Cross-Stephens,14075.86
"Cruz And Hahn, Gibbs",7138.21
"Cruz And Harris Martinez,",31781.43
"Cruz And Henderson, Pitts",14257.46
"Cruz And Quinn Nguyen,",9398.93
"Cruz Fuentes, And Myers",11184.76
"Cruz Grimes King, And",28881.32
Cruz Group,32583.6
Cruz Inc,33220.59
Cruz Llc,47004.07
Cruz Ltd,22298.03
"Cruz Mendez Scott, And",10260.67
"Cruz Morris, And Elliott",38821.65
"Cruz Morrison, Harris And",48885.3
"Cruz Ochoa, Tucker And",13265.69
"Cruz Patel Joseph, And",30223.92
Cruz Plc,30180.8
